step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
114,train,5.9710,0.0007,15.01,5.9320,15.87,11037,90.5,12.614,12.517,nan,nan
115,train,7.3282,0.0000,23.02,7.2945,23.19,8949,91.2,20.995,20.992,nan,nan
116,train,5.9908,0.0032,12.38,5.6580,9.96,7249,92.0,9.377,9.335,nan,nan
117,train,5.8350,0.0015,12.72,5.6246,12.54,6890,92.7,11.658,11.627,nan,nan
118,train,5.8348,0.0001,12.06,5.7789,10.48,8488,93.5,9.113,9.099,nan,nan
119,train,6.5009,0.0004,14.15,6.4765,13.07,10136,94.2,13.324,13.264,nan,nan
120,train,6.5414,0.0000,20.76,6.3374,18.01,11591,95.0,17.669,17.646,nan,nan
121,train,6.2334,0.0445,11.76,5.9987,8.60,10148,95.7,9.541,9.537,nan,nan
122,train,6.3070,0.0005,17.47,6.2836,20.46,9375,96.5,13.894,13.844,nan,nan
123,train,7.2861,0.0002,20.85,7.2890,19.42,9481,97.2,19.313,19.294,nan,nan
124,train,6.2785,0.0003,13.13,6.2320,12.66,9259,98.0,11.825,11.755,nan,nan
125,train,6.9787,0.0000,21.13,6.7170,20.63,11839,98.7,19.309,19.295,nan,nan
126,train,6.4017,0.0020,14.16,6.4449,14.34,9135,99.4,11.052,11.017,nan,nan
127,train,6.2130,0.0005,11.95,6.2141,11.18,9446,100.2,11.955,11.925,nan,nan
128,train,7.3608,0.0001,19.84,7.1014,18.03,9276,100.9,18.107,18.073,nan,nan
129,train,6.2518,0.0001,16.02,6.1098,13.45,8163,101.7,14.062,14.018,nan,nan
130,train,5.7621,0.0007,10.98,5.6409,11.18,8757,102.4,7.711,7.698,nan,nan
131,train,6.0827,0.0006,14.19,5.9253,11.91,9493,103.2,11.119,11.044,nan,nan
132,train,5.4666,0.0124,8.96,5.1317,9.10,9822,103.9,5.549,5.540,nan,nan
133,train,5.9100,0.0032,14.08,5.5319,9.31,10482,104.7,11.754,11.742,nan,nan
134,train,6.1942,0.0997,11.86,5.7488,8.06,10369,105.4,10.621,10.603,nan,nan
135,train,6.1332,0.0375,12.70,5.9185,13.64,7994,106.2,12.356,12.327,nan,nan
136,train,6.3773,0.0009,15.71,6.1686,13.46,10118,106.9,14.473,14.442,nan,nan
137,train,6.1407,0.0093,12.79,5.9567,12.73,8863,107.7,9.813,9.762,nan,nan
138,train,6.4168,0.0000,15.86,6.1540,13.00,8691,108.4,15.563,15.561,nan,nan
139,train,6.5774,0.0001,18.39,6.1963,17.49,9962,109.2,17.548,17.532,nan,nan
140,train,7.9075,0.0000,31.63,7.6106,32.89,7929,109.9,28.865,28.857,nan,nan
141,train,6.2697,0.0008,15.80,6.1429,14.28,7907,110.7,12.911,12.893,nan,nan
142,train,6.5751,0.0001,18.72,6.3154,18.71,8760,111.4,17.944,17.933,nan,nan
143,train,7.3588,0.0005,18.19,7.2712,16.91,8661,112.1,18.155,18.128,nan,nan
144,train,6.3532,0.0008,14.22,6.2818,15.65,7929,112.9,12.531,12.528,nan,nan
145,train,6.2082,0.0010,13.95,6.2153,11.54,9082,113.6,12.287,12.272,nan,nan
146,train,6.2499,0.0006,12.20,6.1719,10.44,8025,114.4,11.545,11.545,nan,nan
147,train,5.4679,0.0195,10.53,5.2771,11.18,8258,115.1,9.848,9.843,nan,nan
148,train,5.3879,0.0079,6.57,5.3004,4.47,10680,115.9,4.805,4.777,nan,nan
149,train,7.2370,0.0000,22.09,7.1129,22.66,9269,116.6,23.006,23.006,nan,nan
150,train,6.4001,0.0055,14.02,6.3033,11.49,8712,117.4,12.331,12.313,nan,nan
151,train,5.9602,0.0039,12.91,5.7548,13.35,9291,118.1,12.446,12.428,nan,nan
152,train,6.8998,0.0005,15.15,6.8314,13.70,8100,118.9,15.208,15.179,nan,nan
153,train,6.2169,0.0019,13.14,6.1183,10.31,8780,119.6,10.221,10.210,nan,nan
