step,split,ce,cert,top1,top5,cell_err_m,n,sec
296,train,4.9087,0.4063,0.0000,0.0125,22.18,160,0.8
297,train,4.7828,0.4270,0.0126,0.0818,15.87,159,0.8
298,train,4.8362,0.4267,0.0189,0.0692,18.12,159,0.7
299,train,4.8373,0.4010,0.0124,0.0621,21.38,161,0.6
300,train,4.8393,0.4098,0.0000,0.0063,18.27,160,0.6
301,train,4.9281,0.4246,0.0062,0.0124,22.74,161,0.6
302,train,4.8505,0.4542,0.0066,0.0461,18.98,152,0.6
303,train,4.9421,0.3819,0.0000,0.0062,28.17,162,0.6
304,train,4.8487,0.4235,0.0000,0.0248,20.11,161,0.6
305,train,4.8788,0.4141,0.0063,0.0377,20.68,159,0.8
306,train,4.8863,0.4653,0.0000,0.0261,22.00,153,0.6
307,train,5.0129,0.3712,0.0000,0.0061,31.89,164,0.7
308,train,4.7890,0.4924,0.0068,0.0952,13.87,147,0.7
309,train,4.8039,0.3776,0.0061,0.0552,20.95,163,0.8
310,train,4.8705,0.4047,0.0062,0.0311,20.82,161,0.8
311,train,4.7586,0.4039,0.0123,0.0741,16.33,162,0.8
312,train,5.2146,0.4091,0.0062,0.0124,25.44,161,0.7
313,train,4.7795,0.4440,0.0123,0.0741,18.52,162,0.8
314,train,4.7228,0.4434,0.0127,0.1083,14.20,157,0.8
315,train,4.9537,0.4722,0.0000,0.0066,23.41,151,0.6
316,train,4.7785,0.4373,0.0127,0.0443,15.30,158,0.8
317,train,4.8481,0.5030,0.0000,0.0000,29.46,152,0.8
318,train,4.8542,0.3857,0.0000,0.0123,22.45,163,0.8
319,train,4.8298,0.4340,0.0000,0.0127,17.77,157,0.8
320,train,4.9745,0.4961,0.0000,0.0000,28.11,157,0.8
321,train,4.7682,0.4468,0.0064,0.0510,14.73,157,0.8
322,train,4.6978,0.5452,0.0292,0.1241,14.80,137,0.6
323,train,4.7086,0.4761,0.0123,0.0988,19.31,162,0.8
324,train,5.0484,0.4528,0.0000,0.0000,24.90,152,0.6
325,train,4.6579,0.4427,0.0131,0.0719,17.26,153,0.6
326,train,5.0145,0.4437,0.0000,0.0132,22.23,152,0.8
327,train,4.9564,0.4300,0.0067,0.0336,22.04,149,0.8
328,train,5.0006,0.4127,0.0000,0.0065,26.66,154,0.8
329,train,4.7722,0.3672,0.0123,0.0429,24.62,163,0.6
330,train,4.7616,0.4491,0.0125,0.0625,19.74,160,0.7
331,train,4.8035,0.3717,0.0000,0.0063,20.23,160,0.8
332,train,4.7675,0.4128,0.0258,0.0839,14.51,155,0.8
333,train,5.0981,0.3759,0.0000,0.0063,26.88,158,0.8
334,train,5.0170,0.4388,0.0065,0.0065,30.68,155,0.8
335,train,4.7833,0.3988,0.0065,0.0581,16.32,155,0.8
336,train,4.9231,0.3923,0.0000,0.0126,23.18,159,0.8
337,train,5.2209,0.4017,0.0000,0.0000,31.08,159,0.8
338,train,4.8789,0.4335,0.0067,0.0201,19.94,149,0.8
339,train,5.1341,0.3993,0.0000,0.0000,34.15,161,0.6
340,train,4.9481,0.3861,0.0063,0.0063,23.05,159,0.8
341,train,4.8867,0.4142,0.0065,0.0260,20.29,154,0.8
342,train,4.8289,0.3756,0.0123,0.0429,15.92,163,0.8
343,train,4.9431,0.3590,0.0061,0.0184,26.35,163,0.7
344,train,4.9526,0.4580,0.0132,0.0199,27.84,151,0.6
345,train,4.8490,0.4298,0.0250,0.1125,15.07,160,0.8
346,train,4.8664,0.4382,0.0064,0.0641,22.02,156,0.8
347,train,4.8348,0.4376,0.0064,0.0382,18.34,157,0.8
348,train,4.9029,0.6940,0.0074,0.0074,22.77,136,0.8
349,train,4.8093,0.4259,0.0255,0.0892,18.17,157,0.6
350,train,4.8173,0.4914,0.0201,0.0537,18.01,149,0.6
351,train,4.7698,0.5552,0.0143,0.0571,17.76,140,0.7
352,train,4.9138,0.4681,0.0064,0.0255,22.82,157,0.7
353,train,5.1343,0.5073,0.0000,0.0000,29.05,151,0.7
354,train,4.9146,0.4764,0.0127,0.0127,24.36,158,0.7
355,train,5.0642,0.5195,0.0065,0.0261,25.89,153,0.8
356,train,4.8813,0.5394,0.0000,0.0000,23.36,147,0.8
357,train,4.7654,0.5015,0.0128,0.0641,15.60,156,0.6
358,train,4.8317,0.3979,0.0061,0.0305,22.32,164,0.8
359,train,4.7575,0.4754,0.0136,0.0748,17.30,147,0.8
360,train,4.9448,0.4882,0.0000,0.0067,24.58,150,0.7
361,train,4.7965,0.4597,0.0253,0.0506,16.57,158,0.8
362,train,4.7683,0.3988,0.0188,0.0875,15.74,160,0.8
363,train,4.8218,0.4313,0.0064,0.0449,20.06,156,0.8
364,train,4.8276,0.4870,0.0068,0.0274,20.57,146,0.8
365,train,4.9651,0.3873,0.0000,0.0125,29.37,160,0.8
366,train,4.8483,0.4372,0.0132,0.0265,22.09,151,0.8
367,train,4.7797,0.3878,0.0185,0.0494,22.57,162,0.7
368,train,5.0450,0.3817,0.0000,0.0000,28.76,165,0.7
369,train,4.9051,0.4018,0.0000,0.0248,22.31,161,0.8
370,train,4.9565,0.4240,0.0000,0.0316,19.95,158,0.6
371,train,4.8214,0.4225,0.0126,0.0377,21.73,159,0.8
372,train,4.8671,0.4832,0.0132,0.0329,18.16,152,0.8
373,train,4.7969,0.4850,0.0261,0.1111,15.30,153,0.8
374,train,4.8583,0.3993,0.0000,0.0063,20.56,160,0.8
375,train,5.0540,0.4034,0.0000,0.0125,33.69,160,0.7
376,train,4.9036,0.4097,0.0000,0.0064,24.57,156,0.8
377,train,4.9385,0.3891,0.0000,0.0000,26.12,162,0.7
378,train,5.0606,0.3785,0.0000,0.0000,35.90,162,0.8
379,train,4.9966,0.4533,0.0000,0.0066,24.47,151,0.8
380,train,5.1950,0.3854,0.0000,0.0000,35.54,159,0.8
381,train,4.9060,0.4000,0.0000,0.0064,29.10,156,0.8
