step,split,ce,cert,top1,top5,cell_err_m,n,sec
2310,train,3.9774,0.2788,0.0000,0.0186,21.45,161,0.8
2311,train,3.5322,0.2658,0.0494,0.1358,16.98,162,0.8
2312,train,3.1291,0.3015,0.0932,0.5280,6.40,161,1.7
2313,train,4.6144,0.4101,0.0000,0.0185,32.97,162,1.8
2314,train,4.3374,0.2885,0.0000,0.0191,16.79,157,0.8
2315,train,3.7417,0.3125,0.0331,0.1921,9.93,151,0.6
2316,train,3.2199,0.2923,0.1329,0.4620,7.04,158,1.8
2317,train,3.5973,0.3561,0.0263,0.1118,21.89,152,2.0
2318,train,3.8526,0.2692,0.0368,0.1656,12.10,163,0.8
2319,train,3.2437,0.2794,0.1146,0.4650,9.81,157,1.5
2320,train,3.8275,0.2982,0.0000,0.0000,23.53,157,1.5
2321,train,3.4883,0.3267,0.0764,0.4076,8.73,157,1.9
2322,train,3.4773,0.4323,0.0292,0.2482,9.71,137,1.3
2323,train,3.0085,0.2778,0.2222,0.6111,5.55,162,2.1
2324,train,5.8146,0.3174,0.0000,0.0000,29.10,152,1.9
2325,train,3.4644,0.3265,0.0458,0.3987,8.01,153,1.7
2326,train,4.8563,0.3224,0.0000,0.0000,49.39,152,2.1
2327,train,3.7622,0.3034,0.0738,0.2148,16.53,149,1.9
2328,train,3.4913,0.3452,0.0519,0.3831,8.59,154,0.8
2329,train,3.7143,0.2668,0.0184,0.1534,16.10,163,0.7
2330,train,3.4508,0.3205,0.0125,0.2062,16.79,160,0.8
2331,train,4.1131,0.3064,0.0063,0.0375,10.86,160,0.8
2332,train,3.6971,0.2953,0.0129,0.0516,18.52,155,0.8
2333,train,3.3203,0.3277,0.0759,0.2911,12.98,158,0.8
2334,train,4.1066,0.3109,0.0000,0.0000,23.96,155,0.8
2335,train,6.0872,0.2967,0.0000,0.0000,14.33,155,2.0
2336,train,4.1049,0.2661,0.0126,0.1321,12.21,159,2.2
2337,train,3.0923,0.2839,0.0943,0.4277,11.34,159,0.8
2338,train,3.4400,0.3555,0.0000,0.0470,16.64,149,1.5
2339,train,4.4173,0.3143,0.0000,0.0000,30.77,161,1.4
2340,train,4.2049,0.3265,0.0063,0.0063,15.07,159,1.9
2341,train,3.7024,0.2659,0.0000,0.0390,16.35,154,1.5
2342,train,3.2712,0.2646,0.1288,0.4969,7.99,163,0.8
2343,train,3.1765,0.2500,0.0982,0.4049,11.38,163,1.5
2344,train,3.1476,0.3356,0.1192,0.5298,6.89,151,0.6
2345,train,3.6069,0.2534,0.0125,0.1437,7.26,160,2.0
2346,train,3.5558,0.3798,0.1282,0.4103,10.87,156,1.6
2347,train,3.4685,0.2926,0.0127,0.1338,13.09,157,2.0
2348,train,3.6195,0.3865,0.0147,0.1250,18.74,136,1.5
2349,train,3.6398,0.2467,0.0000,0.0828,23.80,157,1.8
2350,train,2.9257,0.3208,0.2752,0.7248,4.62,149,2.0
2351,train,3.3700,0.4122,0.0429,0.3714,7.15,140,1.4
2352,train,3.2630,0.3204,0.0191,0.2293,11.48,157,1.5
2353,train,4.3117,0.2932,0.0000,0.0000,32.54,151,1.5
2354,train,3.3844,0.2820,0.0127,0.1519,25.29,158,1.4
2355,train,3.6268,0.3002,0.0327,0.1699,12.77,153,1.8
2356,train,4.6321,0.5289,0.0000,0.0000,17.15,147,0.8
2357,train,3.3333,0.2891,0.0641,0.4103,10.64,156,0.6
2358,train,3.4420,0.2951,0.0183,0.1707,8.23,164,0.8
2359,train,3.1456,0.3010,0.1020,0.3946,14.24,147,1.5
2360,train,3.4114,0.3752,0.0667,0.2733,19.26,150,0.8
2361,train,3.7599,0.4408,0.0063,0.1013,13.79,158,2.1
2362,train,3.7237,0.2582,0.0000,0.0063,27.46,160,1.9
2363,train,3.3796,0.3141,0.0641,0.3077,15.38,156,0.8
2364,train,3.0068,0.4139,0.1986,0.6712,5.47,146,1.6
2365,train,4.4407,0.3427,0.0125,0.0312,29.24,160,0.8
2366,train,3.6734,0.3635,0.0199,0.1258,10.38,151,2.2
2367,train,3.7493,0.3344,0.0679,0.3395,9.91,162,1.7
2368,train,3.3063,0.3943,0.0788,0.3333,6.39,165,1.5
2369,train,3.0800,0.3357,0.0373,0.4534,10.40,161,0.8
2370,train,3.9125,0.3174,0.0000,0.0253,27.24,158,1.8
2371,train,3.0861,0.2987,0.1006,0.3585,16.14,159,2.1
2372,train,3.5107,0.4123,0.0461,0.1645,18.02,152,0.8
2373,train,4.8385,0.3152,0.0261,0.1373,15.17,153,1.7
2374,train,3.1761,0.3111,0.0437,0.2313,13.29,160,1.4
2375,train,4.0514,0.2722,0.0375,0.1250,7.55,160,1.8
2376,train,3.7303,0.3133,0.0256,0.1410,13.56,156,1.5
2377,train,3.4226,0.2714,0.0494,0.2963,10.68,162,1.6
2378,train,3.4539,0.3275,0.0556,0.2407,13.85,162,1.6
2379,train,3.9372,0.3196,0.0066,0.0861,17.21,151,2.2
2380,train,5.0154,0.2754,0.0252,0.0503,18.09,159,0.8
2381,train,4.3045,0.3200,0.0321,0.2436,18.49,156,2.0
2382,train,3.4478,0.3044,0.0185,0.1296,17.07,162,0.6
2383,train,4.0295,0.2745,0.0000,0.0253,13.31,158,1.8
2384,train,3.6547,0.2482,0.0188,0.2375,9.95,160,2.0
2385,train,3.8914,0.3129,0.0065,0.0779,22.89,154,0.8
2386,train,3.7602,0.3252,0.0000,0.0000,27.24,151,0.8
2387,train,3.4558,0.3215,0.0063,0.0563,15.61,160,1.8
2388,train,3.7214,0.3214,0.0064,0.1154,14.74,156,0.8
2389,train,4.2167,0.2669,0.0000,0.0062,14.67,161,1.9
2390,train,3.5078,0.2944,0.0250,0.0875,14.96,160,1.5
2391,train,3.9194,0.2950,0.0000,0.0458,12.43,153,1.7
2392,train,4.9627,0.2670,0.0000,0.0000,21.64,160,2.0
2393,train,3.1414,0.4148,0.0915,0.7394,5.68,142,0.8
2394,train,4.0023,0.2914,0.0309,0.2284,10.78,162,0.8
2395,train,4.2342,0.3282,0.0185,0.1111,13.77,162,1.9
