step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
214,train,3.5059,0.1319,8.20,3.6332,9.55,1395,171.3,nan,nan
215,train,3.4948,0.0836,11.36,3.1084,9.49,1316,172.1,nan,nan
216,train,4.0240,0.0590,11.76,3.6449,12.15,1323,172.8,nan,nan
217,train,2.9735,0.2552,7.16,3.1119,9.46,1430,173.6,nan,nan
218,train,4.3935,0.0187,13.38,4.2126,14.11,1391,174.4,nan,nan
219,train,2.8764,0.2031,5.96,2.6359,7.87,1418,175.2,nan,nan
220,train,3.7042,0.1091,8.36,3.6690,9.03,1458,175.9,nan,nan
221,train,2.9511,0.1402,6.42,2.8156,7.50,1312,176.7,nan,nan
222,train,3.2914,0.1809,11.35,2.9923,11.01,1316,177.5,nan,nan
223,train,4.1759,0.0187,12.23,3.5744,11.19,1391,178.3,nan,nan
224,train,3.5285,0.0399,9.61,3.5390,10.36,1405,179.0,nan,nan
225,train,3.5823,0.1692,7.74,3.4606,7.02,1442,179.8,nan,nan
226,train,4.5290,0.0212,14.37,4.0796,16.50,1273,180.6,nan,nan
227,train,3.5935,0.0916,8.61,3.2814,6.74,1244,181.4,nan,nan
228,train,2.8764,0.2477,5.66,2.8453,6.42,1328,182.1,nan,nan
229,train,2.7817,0.1857,6.09,2.3043,5.44,1352,182.9,nan,nan
230,train,3.7023,0.0894,8.90,3.0834,7.91,1364,183.7,nan,nan
231,train,3.1779,0.0882,8.49,3.0448,8.77,1418,184.5,nan,nan
232,train,3.2934,0.1235,7.57,3.2080,7.29,1417,185.2,nan,nan
233,train,3.5281,0.1091,8.74,3.2091,7.12,1375,186.0,nan,nan
234,train,4.2313,0.0311,12.10,3.8661,12.65,1416,186.8,nan,nan
235,train,3.4044,0.0945,7.28,3.2003,8.68,1471,187.6,nan,nan
236,train,3.7070,0.0962,10.57,3.2784,9.46,1341,188.3,nan,nan
237,train,3.6853,0.0597,12.03,3.2799,11.14,1274,189.1,nan,nan
238,train,3.8707,0.0552,8.35,3.5366,7.27,1376,189.9,nan,nan
239,train,3.0642,0.1813,6.22,2.8451,5.83,1340,190.7,nan,nan
240,train,3.6795,0.1050,11.62,3.3050,14.90,1362,191.4,nan,nan
241,train,3.0777,0.1797,6.77,3.3345,8.74,1408,192.2,nan,nan
242,train,2.8719,0.1909,5.45,2.9084,5.91,1446,193.0,nan,nan
243,train,3.4639,0.1189,7.11,3.3395,6.56,1362,193.8,nan,nan
244,train,3.7732,0.0970,11.02,3.3884,10.51,1350,194.6,nan,nan
245,train,2.9366,0.2402,6.43,2.7901,4.56,1374,195.3,nan,nan
246,train,3.3784,0.0748,8.55,2.9370,9.20,1430,196.1,nan,nan
247,train,3.5692,0.0516,9.08,3.2501,9.82,1416,196.9,nan,nan
248,train,3.5269,0.0937,8.66,3.8241,9.77,1345,197.7,nan,nan
249,train,3.5839,0.0980,12.79,3.3166,12.49,1265,198.4,nan,nan
250,train,3.4859,0.0448,10.54,3.2479,11.35,1430,199.2,nan,nan
251,train,3.6974,0.0989,8.81,3.6834,9.68,1365,200.0,nan,nan
252,train,3.4998,0.1573,8.71,3.5992,9.91,1354,200.8,nan,nan
