step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
253,train,3.5680,0.0284,8.15,3.1116,8.65,703,136.5
254,train,2.5350,0.2727,6.14,3.4281,8.07,770,137.0
255,train,3.1644,0.2058,7.92,2.6072,7.00,690,137.5
256,train,3.1384,0.0622,7.99,2.3985,7.08,675,138.1
257,train,2.7752,0.1826,4.82,1.6899,3.00,701,138.6
258,train,2.9739,0.2727,7.90,2.5586,6.80,770,139.1
259,train,3.4045,0.1119,7.85,3.6020,7.54,742,139.7
260,train,3.2466,0.1613,7.61,2.9005,6.40,744,140.2
261,train,4.3507,0.0822,11.63,4.1757,10.12,742,140.8
262,train,2.8602,0.2237,7.50,2.7304,7.83,742,141.3
263,train,3.2835,0.0288,6.78,3.1430,6.58,730,141.8
264,train,3.6444,0.0288,13.02,4.0869,13.16,660,142.3
265,train,2.8042,0.1633,6.12,2.6445,4.65,686,142.9
266,train,2.3595,0.3571,6.22,1.8899,6.00,742,143.4
267,train,2.1058,0.2792,3.70,1.4472,1.00,770,143.9
268,train,3.1779,0.2227,9.17,3.2353,7.47,660,144.5
269,train,3.3245,0.1357,6.77,3.3175,6.41,700,145.0
270,train,3.4381,0.2602,9.84,3.3963,16.51,688,145.5
271,train,4.2487,0.0284,9.99,4.2440,10.04,704,146.0
272,train,3.2896,0.2486,7.39,3.9056,8.48,728,146.6
273,train,3.8567,0.0952,12.39,3.8117,9.49,704,147.1
274,train,3.8243,0.0273,10.42,3.0245,9.32,770,147.6
275,train,2.3742,0.2232,4.36,2.0914,3.41,690,148.2
276,train,3.2889,0.0434,9.43,3.0372,8.41,714,148.7
277,train,3.0053,0.1443,7.80,2.1923,7.10,700,149.2
278,train,3.0035,0.2779,7.57,3.0369,11.93,716,149.8
279,train,2.9102,0.2747,7.10,2.8964,7.12,688,150.3
280,train,2.2992,0.4078,6.82,2.8743,11.11,716,150.9
281,train,2.5903,0.2140,5.58,2.5958,7.41,743,151.4
282,train,2.9391,0.0809,5.54,2.2677,4.00,742,151.9
283,train,2.6989,0.2169,6.27,2.8697,6.58,756,152.4
284,train,3.8854,0.1479,9.89,4.2010,9.74,676,153.0
285,train,3.0911,0.1494,8.47,2.0035,9.40,716,153.5
286,train,3.3811,0.0182,6.82,3.5341,5.83,716,154.0
287,train,2.8953,0.2198,5.71,2.8998,5.61,728,154.5
288,train,3.2803,0.2454,6.24,3.2694,4.83,701,155.0
289,train,3.1648,0.2176,6.91,3.5308,8.06,717,155.6
290,train,2.5478,0.2390,5.55,2.9441,5.65,728,156.1
291,train,4.4914,0.0398,14.34,4.5048,17.28,729,156.6
292,train,3.4069,0.1731,8.36,3.2171,8.41,728,157.1
293,train,2.3132,0.3269,3.89,1.8715,2.41,676,157.6
294,train,2.1550,0.2008,3.74,2.0485,3.41,742,158.1
295,train,3.0029,0.1923,7.03,2.7324,6.16,728,158.7
296,train,4.3602,0.0361,10.81,4.1065,10.12,664,159.2
297,train,3.8738,0.0040,13.51,3.3203,19.37,756,159.7
298,train,3.5813,0.0714,10.52,2.9627,10.61,700,160.3
299,train,3.7679,0.1674,9.69,3.2017,7.41,729,160.8
300,train,3.0412,0.1309,9.07,2.6635,10.28,703,161.3
301,train,2.9065,0.2129,7.17,3.0662,7.36,700,161.8
302,train,2.8815,0.2257,6.73,3.2795,8.00,678,162.3
303,train,2.7736,0.1548,5.20,2.6403,4.00,756,162.9
304,train,2.2933,0.1860,4.10,1.7064,3.00,688,163.4
305,train,2.0815,0.2766,3.53,2.0392,3.83,687,163.9
306,train,4.2211,0.0349,17.88,4.0791,16.90,716,164.4
307,train,3.2830,0.1325,7.15,3.1255,6.16,770,164.9
308,train,2.3063,0.2891,5.02,2.5431,6.16,716,165.5
309,train,3.8334,0.1793,8.75,3.5417,11.07,686,166.0
310,train,2.5221,0.2955,5.96,2.6038,10.07,714,166.6
311,train,3.0852,0.0618,6.63,2.6171,5.00,728,167.1
312,train,2.9199,0.2280,6.68,3.4027,8.47,728,167.6
313,train,3.3623,0.0920,8.77,3.3775,9.08,728,168.1
314,train,2.1017,0.3208,3.58,2.0905,3.41,742,168.6
315,train,3.8989,0.0833,10.57,4.3578,13.08,756,169.1
316,train,3.5355,0.1204,9.10,2.9276,11.00,756,169.7
317,train,2.4906,0.1986,4.86,2.2691,3.41,700,170.2
318,train,3.5496,0.1770,8.15,4.1756,10.24,757,170.7
319,train,2.6974,0.1593,4.99,2.0985,2.24,728,171.2
320,train,1.9589,0.3410,3.41,2.5634,4.00,742,171.8
321,train,2.2905,0.3725,3.99,1.5438,1.00,612,172.3
322,train,2.7494,0.1456,5.54,2.8093,4.41,742,172.8
323,train,3.2748,0.1792,8.87,3.1770,7.39,742,173.3
324,train,2.9424,0.1416,8.28,2.7840,8.00,770,173.8
325,train,2.4599,0.2897,3.44,2.2920,2.41,756,174.4
326,train,2.8200,0.2376,5.81,2.7681,5.00,728,174.9
327,train,2.4592,0.2129,3.87,1.7277,2.00,728,175.4
328,train,3.0993,0.1254,7.98,2.7798,4.00,702,175.9
329,train,2.3823,0.2353,4.85,2.6483,5.24,714,176.5
330,train,4.7349,0.0769,14.48,5.5843,16.00,702,177.0
331,train,2.9831,0.1456,6.34,2.9894,4.83,728,177.6
332,train,2.1732,0.1806,4.05,2.3602,4.41,742,178.1
333,train,2.3792,0.3266,5.56,1.7705,2.00,689,178.6
334,train,2.4605,0.2211,4.42,2.1546,4.41,692,179.1
335,train,2.8308,0.2301,5.27,2.7045,3.24,730,179.6
