step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
178,train,3.5285,0.1185,7.90,3.7540,7.80,1350,140.8
179,train,3.7185,0.1019,9.76,3.1995,7.21,1325,141.6
180,train,3.8601,0.0556,10.10,3.5987,10.23,1421,142.3
181,train,4.0381,0.0398,9.87,3.6371,9.79,1456,143.1
182,train,3.3440,0.0962,7.85,2.6660,6.45,1445,143.9
183,train,2.9107,0.2269,6.07,2.8531,5.12,1388,144.6
184,train,2.9376,0.1670,5.32,2.7861,5.20,1347,145.4
185,train,2.9835,0.1694,7.16,2.6005,7.24,1417,146.2
186,train,2.9104,0.1607,6.84,2.6702,6.89,1388,146.9
187,train,2.8174,0.2357,5.91,2.9953,5.72,1472,147.7
188,train,3.2955,0.0965,7.54,3.2570,7.74,1326,148.5
189,train,3.3584,0.1155,7.35,2.9815,5.51,1498,149.2
190,train,3.8279,0.0613,7.72,4.1272,5.51,1419,150.0
191,train,3.3500,0.1046,7.78,3.2842,8.00,1348,150.8
192,train,3.3121,0.1590,8.28,2.9729,6.12,1352,151.5
193,train,3.3833,0.1024,8.44,3.4780,6.99,1445,152.3
194,train,3.5064,0.1768,9.15,3.4350,9.69,1420,153.1
195,train,3.2164,0.1376,6.50,3.5066,6.24,1301,153.9
196,train,3.3388,0.1605,9.46,3.3477,9.11,1402,154.6
197,train,3.3712,0.0812,10.09,3.5701,13.83,1404,155.4
198,train,3.3121,0.2064,8.77,3.4522,7.06,1342,156.2
199,train,3.0864,0.1142,8.62,2.8317,8.42,1418,156.9
200,train,3.6128,0.1557,10.84,3.3432,12.42,1458,157.7
201,train,3.0270,0.1013,6.22,3.0842,6.83,1323,158.5
202,train,3.5368,0.1290,7.92,3.4290,9.30,1349,159.2
203,train,3.1528,0.1742,7.01,2.7951,7.06,1418,160.0
204,train,3.1950,0.1066,8.03,3.1793,9.66,1389,160.8
205,train,3.5970,0.0894,9.69,3.9021,11.65,1420,161.5
206,train,3.5507,0.1072,8.76,3.2297,10.68,1390,162.3
207,train,3.2123,0.2108,6.60,3.2025,6.71,1442,163.1
208,train,3.1770,0.1637,10.30,2.9225,11.20,1271,163.8
209,train,3.4462,0.2338,7.49,4.0544,9.81,1390,164.6
210,train,3.2860,0.1117,8.12,2.9352,7.67,1379,165.4
211,train,3.3886,0.1373,7.08,3.2063,7.00,1428,166.1
212,train,3.7037,0.0597,9.67,3.5336,9.90,1457,166.9
213,train,2.7963,0.1353,5.93,2.6008,4.71,1456,167.7
214,train,3.8459,0.0883,14.48,3.7012,16.97,1246,168.5
215,train,3.4726,0.1130,7.42,3.6411,7.50,1434,169.2
216,train,3.3703,0.1417,9.08,3.1091,9.28,1334,170.0
217,train,2.8356,0.2368,5.75,2.9408,5.15,1368,170.8
218,train,4.5099,0.1046,15.99,4.6701,17.37,1339,171.5
219,train,3.5354,0.1353,9.11,3.2220,9.22,1419,172.3
220,train,3.4299,0.1686,9.42,3.1675,6.65,1429,173.1
221,train,2.4274,0.3408,4.28,2.5030,4.00,1338,173.8
222,train,3.3451,0.1448,8.65,3.0581,8.24,1326,174.6
223,train,3.3798,0.1211,7.71,3.3061,8.86,1404,175.4
224,train,3.0907,0.1396,7.99,2.9963,7.68,1390,176.1
225,train,2.8132,0.1473,6.90,3.2057,9.20,1392,176.9
226,train,3.2275,0.1518,8.51,2.8330,8.66,1377,177.7
227,train,3.4243,0.0790,7.86,3.0796,4.74,1393,178.4
228,train,3.7028,0.0629,9.02,3.0987,8.47,1416,179.2
229,train,3.0417,0.2023,8.33,2.9171,8.90,1374,180.0
230,train,3.2135,0.1356,7.57,2.9856,8.86,1445,180.7
231,train,2.9955,0.1824,6.23,2.8617,6.30,1447,181.5
232,train,3.1538,0.1422,6.95,3.3831,7.24,1406,182.3
233,train,3.2645,0.1232,8.08,2.8063,7.93,1445,183.1
234,train,3.1891,0.1787,7.89,3.5200,7.57,1354,183.8
235,train,2.6003,0.3211,4.71,2.4310,3.79,1442,184.6
236,train,4.2683,0.0673,14.54,3.9788,16.89,1337,185.4
237,train,3.6982,0.0887,10.15,3.5446,9.80,1376,186.1
238,train,2.9354,0.2054,7.32,2.6263,8.33,1300,186.9
239,train,3.2924,0.1450,8.20,2.7922,7.26,1386,187.7
240,train,2.9071,0.1920,7.16,3.1920,7.63,1380,188.4
