step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
293,train,3.6669,0.0612,5.59,3.5102,5.24,784,171.2
294,train,3.7049,0.2309,8.25,3.6363,9.11,784,171.8
295,train,4.5416,0.2232,10.41,4.1729,8.54,784,172.3
296,train,5.1750,0.0497,11.40,5.4768,12.29,784,172.9
297,train,5.3867,0.1862,15.84,5.4330,14.90,784,173.4
298,train,2.8332,0.1199,3.65,2.1393,5.03,784,174.2
299,train,3.9465,0.1110,8.23,3.3482,7.00,784,174.8
300,train,2.9248,0.1824,2.97,2.6996,3.21,784,175.3
301,train,4.3642,0.0918,10.59,3.6142,9.29,784,175.8
302,train,4.0404,0.1441,9.86,3.4323,10.31,784,176.4
303,train,4.1382,0.1135,9.38,3.7932,8.31,784,176.9
304,train,4.9205,0.1161,14.39,4.5660,14.33,784,177.8
305,train,3.6521,0.1990,6.71,3.5747,6.73,784,178.6
306,train,2.6887,0.0931,2.40,2.1251,1.50,784,179.1
307,train,3.7024,0.1582,5.97,3.4208,6.91,784,179.7
308,train,4.6046,0.0344,4.61,2.8688,2.00,784,180.2
309,train,4.8312,0.0077,13.87,3.8807,9.52,784,180.8
310,train,3.8390,0.0459,6.97,3.0422,9.27,784,181.3
311,train,4.2650,0.0102,9.90,4.2376,11.34,784,181.9
312,train,5.1349,0.0281,15.82,5.0581,18.62,784,182.6
313,train,3.1693,0.2283,5.01,2.4721,1.21,784,183.4
314,train,3.8946,0.0587,6.41,2.8241,6.02,784,184.0
315,train,4.8639,0.0804,12.97,4.6738,10.60,784,184.6
316,train,4.8014,0.0166,8.45,4.8395,5.74,784,185.3
317,train,3.0876,0.3533,3.33,2.8975,3.83,784,185.8
318,train,3.4407,0.1212,5.21,2.8312,3.26,784,186.4
319,train,4.3649,0.1531,14.04,3.9944,11.06,784,186.9
320,train,2.6775,0.0880,2.40,3.7849,3.33,784,187.5
321,train,3.6026,0.0906,4.35,2.7258,4.50,784,188.0
322,train,3.3505,0.0829,4.71,2.6740,3.00,784,188.5
323,train,3.7159,0.0957,5.43,3.7967,4.26,784,189.1
324,train,6.3238,0.0191,15.43,5.8803,17.38,784,189.6
325,train,4.0545,0.0829,8.08,3.0016,5.73,784,190.1
326,train,2.0294,0.3980,1.77,1.8178,1.21,784,190.7
327,train,3.8340,0.1212,10.82,3.4163,13.25,784,191.2
328,train,3.9338,0.1658,6.96,2.9886,5.50,784,191.9
329,train,5.2782,0.0026,11.68,5.3905,10.79,784,192.5
330,train,4.1150,0.0778,6.29,4.1949,6.21,784,193.1
331,train,4.0086,0.1467,9.47,3.9931,9.76,784,193.6
332,train,3.4205,0.2079,4.82,3.3610,2.71,784,194.2
333,train,2.7738,0.1952,2.83,2.4658,2.21,784,195.0
334,train,4.1844,0.1327,11.54,3.7178,13.82,784,195.5
335,train,2.2587,0.3291,1.69,2.2820,2.21,784,196.1
336,train,3.8006,0.1824,9.00,3.2684,7.66,784,196.6
337,train,2.5614,0.3673,2.98,3.0606,3.20,784,197.1
338,train,1.9661,0.3763,1.61,2.1004,2.71,784,197.7
339,train,3.2247,0.0638,3.23,2.6197,2.58,784,198.2
340,train,4.5380,0.0969,6.71,4.0825,5.13,784,198.7
341,train,3.5595,0.1059,4.03,3.2583,3.62,784,199.3
342,train,4.8547,0.0089,12.82,4.1022,12.95,784,199.8
343,train,3.3253,0.1492,7.69,2.7192,8.11,784,200.4
344,train,3.5612,0.1696,5.79,2.9576,5.50,784,201.0
345,train,4.4585,0.0332,10.03,4.0333,6.63,784,201.5
346,train,3.4827,0.1543,5.45,3.2961,5.85,784,202.1
347,train,5.4660,0.0166,14.72,5.1876,11.50,784,202.6
348,train,6.1805,0.0038,16.97,5.4713,17.92,784,203.1
349,train,2.6980,0.2551,2.62,2.0972,1.00,784,203.7
350,train,3.0348,0.1658,2.41,2.7740,2.50,784,204.2
351,train,2.8198,0.1237,5.66,2.6737,6.21,784,204.8
352,train,3.8866,0.1071,9.29,3.5871,2.71,784,205.4
353,train,4.2868,0.1033,10.76,4.1935,10.05,784,205.9
354,train,4.2692,0.0166,11.44,3.8293,10.63,784,206.5
355,train,2.5939,0.2513,3.58,2.6483,3.41,784,207.0
356,train,4.7354,0.0089,8.48,3.7431,6.21,784,207.5
357,train,3.9352,0.1186,7.41,3.7916,8.52,784,208.1
358,train,5.2228,0.0446,9.20,4.9666,14.14,784,208.6
359,train,4.3871,0.0497,8.87,4.1608,7.72,784,209.2
360,train,4.0020,0.1403,8.02,4.0302,7.97,784,209.7
361,train,4.3921,0.0727,9.18,4.0271,6.65,784,210.3
362,train,2.1426,0.3520,2.56,2.1450,2.21,784,210.8
363,train,3.7366,0.1033,4.14,3.3175,3.70,784,211.4
364,train,4.1172,0.1390,8.62,3.4573,5.15,784,211.9
365,train,4.1691,0.1569,7.13,4.3911,4.00,784,212.4
366,train,2.1823,0.4043,2.62,2.6652,3.29,784,213.0
367,train,3.2536,0.1390,7.21,2.8519,10.03,784,213.5
368,train,3.6900,0.0982,6.25,3.8205,6.33,784,214.3
369,train,3.9325,0.1454,9.38,4.3438,15.07,784,215.2
370,train,4.8334,0.0485,13.17,5.4147,11.91,784,215.9
371,train,4.0029,0.0179,5.44,3.9102,7.45,784,216.4
372,train,4.6788,0.0128,8.62,4.7879,9.98,784,217.0
373,train,3.3548,0.2946,4.86,3.1566,2.41,784,217.5
374,train,3.2886,0.2079,8.76,2.7345,8.00,784,218.1
375,train,3.7879,0.1008,8.73,3.5110,10.23,784,218.6
376,train,4.7709,0.0829,13.77,4.0786,12.68,784,219.2
377,train,3.1012,0.1046,7.73,2.4568,5.03,784,219.8
378,train,4.5029,0.0408,7.87,3.7349,7.05,784,220.3
379,train,4.8821,0.1008,13.05,5.3889,12.73,784,220.8
380,train,4.7263,0.1365,10.11,4.3806,9.01,784,221.4
381,train,3.3088,0.1276,4.34,3.0616,1.71,784,221.9
382,train,3.0164,0.2066,3.01,2.8432,2.71,784,222.4
383,train,2.9928,0.0548,4.38,2.4620,4.50,784,223.0
384,train,3.9389,0.0867,8.03,3.2623,6.60,784,223.5
385,train,3.5480,0.2372,4.57,3.2492,2.50,784,224.0
386,train,4.5898,0.0472,7.03,4.2674,8.82,784,224.6
387,train,3.2888,0.0855,4.63,3.0935,5.14,784,225.1
388,train,4.3616,0.1276,11.92,3.8422,11.32,784,225.6
389,train,3.8945,0.0689,7.49,2.5533,7.21,784,226.2
390,train,3.5939,0.1556,7.58,2.8074,1.50,784,226.9
391,train,3.8241,0.0753,5.29,3.8692,5.81,784,227.5
392,train,4.7558,0.0268,14.52,4.7642,9.71,784,228.0
393,train,4.2222,0.0434,7.22,3.9359,11.21,784,228.5
394,train,5.6183,0.0612,13.44,5.2136,11.06,784,229.1
395,train,3.2021,0.1773,5.72,3.0176,2.12,784,229.9
396,train,4.0728,0.0344,10.16,3.9721,8.02,784,230.6
397,train,4.6608,0.1862,8.72,4.6940,9.22,784,231.1
398,train,5.4836,0.0115,14.05,4.8318,13.65,784,231.7
399,train,2.4836,0.3980,2.94,2.6337,1.91,784,232.3
400,train,3.5457,0.1033,7.13,3.5611,8.20,784,232.8
401,train,2.9036,0.0816,2.71,1.9274,1.00,784,233.4
402,train,3.6356,0.3048,7.20,3.5075,7.50,784,233.9
403,train,3.3128,0.0599,2.82,1.8058,1.50,784,234.5
404,train,3.8110,0.0931,8.11,3.1138,9.23,784,235.0
405,train,3.9021,0.0485,6.13,3.2895,9.75,784,235.5
406,train,4.0918,0.0804,8.31,3.6371,3.98,784,236.1
407,train,4.6199,0.0077,8.25,4.2894,8.08,784,236.7
408,train,3.7507,0.0587,4.25,3.3753,3.50,784,237.2
409,train,3.5082,0.0842,4.15,3.5306,3.74,784,237.8
410,train,4.3920,0.0842,10.07,4.0816,9.00,784,238.4
411,train,4.6802,0.1582,8.50,4.1638,8.05,784,238.9
412,train,2.8823,0.1786,4.29,2.1225,4.53,784,239.5
413,train,3.9780,0.0383,6.08,3.2538,5.24,784,240.0
414,train,2.8266,0.2870,5.56,2.6153,9.21,784,240.6
415,train,4.5899,0.0344,11.47,3.6018,8.81,784,241.1
416,train,4.8961,0.0459,9.02,4.7742,6.73,784,241.6
417,train,3.6089,0.1875,6.82,2.9753,4.71,784,242.2
418,train,3.6550,0.0651,6.54,3.2681,7.00,784,242.7
419,train,4.3443,0.0702,9.78,3.5966,11.54,784,243.3
