step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
172,train,4.6436,0.0606,13.88,4.4338,13.84,1568,135.3,nan,nan
173,train,3.8490,0.1320,8.05,3.8086,9.45,1568,136.1,nan,nan
174,train,4.7946,0.0332,11.83,4.2352,8.90,1568,136.8,nan,nan
175,train,4.5230,0.0689,8.25,3.8013,7.27,1568,137.6,nan,nan
176,train,3.9603,0.0472,6.74,3.1949,2.25,1568,138.4,nan,nan
177,train,4.5252,0.0517,6.58,4.0764,5.67,1568,139.1,nan,nan
178,train,4.4060,0.0880,7.90,4.2190,5.57,1568,139.9,nan,nan
179,train,5.0284,0.0140,9.89,4.7550,10.40,1568,140.7,nan,nan
180,train,3.9061,0.1441,6.26,3.8723,5.13,1568,141.4,nan,nan
181,train,4.5255,0.0612,6.15,4.5433,5.32,1568,142.2,nan,nan
182,train,5.1685,0.0096,9.85,5.0118,8.58,1568,143.0,nan,nan
183,train,5.0580,0.0517,9.94,5.0739,8.03,1568,143.7,nan,nan
184,train,4.9504,0.0504,11.68,4.3962,10.61,1568,144.5,nan,nan
185,train,4.6941,0.0070,9.08,4.4784,10.52,1568,145.3,nan,nan
186,train,4.0214,0.0829,6.53,4.1385,7.39,1568,146.0,nan,nan
187,train,5.1384,0.0344,11.72,4.8589,15.44,1568,146.8,nan,nan
188,train,4.2395,0.0893,5.94,4.1514,6.49,1568,147.6,nan,nan
189,train,5.0609,0.0389,9.23,4.9810,8.86,1568,148.3,nan,nan
190,train,4.3513,0.1454,8.92,3.9616,5.84,1568,149.1,nan,nan
191,train,4.4787,0.0695,8.76,4.3543,8.18,1568,149.9,nan,nan
192,train,4.9754,0.0580,8.13,4.7421,8.47,1568,150.6,nan,nan
193,train,4.4515,0.0402,8.47,4.3850,9.29,1568,151.4,nan,nan
194,train,4.1449,0.0249,6.63,3.8675,5.30,1568,152.2,nan,nan
195,train,5.0006,0.0064,9.19,4.9511,8.59,1568,152.9,nan,nan
196,train,5.1372,0.0663,7.07,5.0431,6.26,1568,153.7,nan,nan
197,train,4.6721,0.0159,8.25,4.3139,10.17,1568,154.5,nan,nan
198,train,4.9221,0.0274,10.95,5.1600,9.93,1568,155.2,nan,nan
199,train,4.3773,0.0612,6.34,4.5358,4.72,1568,156.0,nan,nan
200,train,4.9916,0.0459,8.97,4.4938,8.16,1568,156.8,nan,nan
201,train,4.7624,0.0019,9.36,4.0994,8.58,1568,157.6,nan,nan
202,train,5.6058,0.0536,9.30,4.6533,9.15,1568,158.3,nan,nan
203,train,4.5470,0.0249,7.02,4.2202,8.26,1568,159.1,nan,nan
204,train,4.4244,0.0657,11.78,3.7402,11.95,1568,159.9,nan,nan
205,train,3.7279,0.0778,6.05,3.2308,4.21,1568,160.6,nan,nan
206,train,4.7620,0.0587,10.94,4.7689,13.52,1568,161.4,nan,nan
207,train,4.6502,0.0644,6.82,4.5261,7.35,1568,162.2,nan,nan
208,train,3.6385,0.1333,5.01,3.5158,5.32,1568,162.9,nan,nan
209,train,3.9993,0.0663,7.66,3.7424,7.23,1568,163.7,nan,nan
