step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
194,train,3.5136,0.0699,9.16,3.3046,8.82,1345,159.4
195,train,3.1896,0.1951,6.91,3.1169,6.15,1456,160.2
196,train,3.4953,0.1197,9.37,3.0832,8.67,1428,161.0
197,train,2.7892,0.2146,6.70,2.6631,5.72,1393,161.8
198,train,3.7258,0.0860,13.47,3.6460,14.76,1418,162.6
199,train,3.2208,0.1718,6.54,3.0346,6.08,1403,163.4
200,train,3.6215,0.0500,10.95,3.6205,10.76,1419,164.2
201,train,3.1831,0.1338,11.04,3.3944,13.35,1315,165.0
202,train,3.4748,0.1587,9.32,3.5968,10.79,1393,165.8
203,train,3.1141,0.1711,7.94,3.2073,7.94,1379,166.6
204,train,3.3019,0.1474,8.87,3.1593,10.08,1357,167.4
205,train,3.8546,0.0632,10.85,3.7711,9.19,1377,168.2
206,train,3.0131,0.2123,7.87,2.6207,7.03,1460,169.0
207,train,3.5726,0.1151,9.56,3.6837,9.74,1442,169.8
208,train,3.0598,0.2775,8.11,3.2951,7.62,1416,170.6
209,train,3.0965,0.1517,7.21,3.1854,8.15,1378,171.4
210,train,4.4898,0.0513,14.67,4.2212,15.21,1364,172.2
211,train,3.3416,0.1358,7.88,3.5779,8.25,1421,173.0
212,train,3.0845,0.1862,8.28,2.8089,7.13,1498,173.8
213,train,3.3184,0.1689,8.18,3.3308,6.95,1374,174.6
214,train,3.1196,0.1713,8.12,3.1441,8.06,1343,175.4
215,train,2.8920,0.1442,7.61,2.6369,7.47,1442,176.2
216,train,3.3470,0.1191,8.45,3.3253,9.21,1377,177.0
217,train,2.9796,0.2065,6.02,2.9030,5.59,1395,177.8
218,train,2.8801,0.1947,6.36,3.1641,4.83,1351,178.6
219,train,3.4754,0.1687,11.51,3.5555,9.85,1369,179.4
220,train,3.8216,0.0778,9.93,3.4022,9.48,1375,180.2
221,train,2.5504,0.2567,4.66,2.4746,3.71,1301,181.0
222,train,3.7360,0.2348,8.82,3.5347,10.52,1367,181.8
223,train,3.3340,0.1037,7.69,3.2439,6.54,1456,182.6
224,train,3.3126,0.1582,9.91,3.1050,10.56,1378,183.4
225,train,2.1927,0.3452,3.51,2.5147,4.33,1376,184.2
226,train,3.5990,0.1479,10.90,3.5645,12.50,1420,185.0
227,train,2.7246,0.2191,6.72,2.8701,7.71,1433,185.8
228,train,2.8542,0.2493,7.39,2.5825,6.87,1472,186.6
229,train,3.2673,0.0953,6.99,2.9681,5.22,1374,187.4
230,train,3.4956,0.0991,7.29,3.4213,5.82,1342,188.2
231,train,3.0884,0.1186,7.17,2.6645,6.46,1366,189.0
232,train,4.0515,0.0093,12.91,4.2108,15.27,1393,189.8
233,train,3.3091,0.1101,7.57,2.8949,6.50,1371,190.6
234,train,3.1764,0.1563,6.59,2.4620,4.79,1459,191.4
235,train,4.9985,0.0400,15.85,5.2266,15.54,1374,192.2
236,train,3.0244,0.1796,7.69,2.6794,7.41,1431,193.0
237,train,2.6424,0.2475,6.01,2.5202,7.72,1418,193.8
238,train,3.4597,0.1607,8.91,3.6198,6.79,1375,194.6
239,train,3.4685,0.1416,9.95,3.2992,11.43,1384,195.4
240,train,3.6088,0.0488,9.25,3.4399,8.52,1393,196.2
241,train,3.8579,0.0140,10.83,3.7633,11.77,1433,197.0
242,train,2.9467,0.1619,5.87,2.7062,5.83,1353,197.8
243,train,4.7466,0.0461,13.42,4.7285,15.62,1302,198.6
244,train,2.8038,0.3314,7.63,2.7911,8.04,1364,199.5
245,train,3.1581,0.1014,6.92,2.9171,7.14,1390,200.3
246,train,3.9688,0.0381,10.77,3.9704,10.12,1340,201.1
247,train,3.4109,0.1043,7.93,3.5277,9.00,1352,201.9
248,train,2.7871,0.1599,6.15,2.1179,4.75,1445,202.7
249,train,3.8357,0.0747,7.75,3.1519,5.68,1366,203.5
250,train,3.8083,0.1645,9.33,3.5882,10.10,1374,204.3
251,train,3.2161,0.1977,9.02,2.8268,10.20,1457,205.1
252,train,3.5140,0.0615,8.94,3.1686,8.44,1285,205.9
253,train,4.2621,0.0944,9.63,4.6022,10.60,1430,206.7
254,train,3.9662,0.0651,11.59,4.0788,11.07,1445,207.5
255,train,3.1901,0.1232,7.11,2.9858,5.84,1445,208.3
256,train,3.4182,0.1137,10.27,3.3504,10.06,1442,209.1
257,train,3.3760,0.1082,7.14,2.7615,4.65,1414,209.9
258,train,3.3204,0.1981,6.96,3.0679,7.97,1444,210.7
259,train,2.6722,0.2759,6.15,2.2534,2.79,1388,211.5
260,train,3.3171,0.1791,7.00,2.8925,7.16,1390,212.3
261,train,3.3007,0.1243,8.33,3.1282,6.67,1336,213.1
