step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
236,train,3.7020,0.1071,6.17,3.3480,5.87,1568,187.1,nan,nan
237,train,3.2736,0.1728,5.33,3.4736,6.96,1568,187.9,nan,nan
238,train,4.3045,0.1454,9.48,3.8805,7.29,1568,188.6,nan,nan
239,train,3.4143,0.1760,6.06,3.2418,6.89,1568,189.4,nan,nan
240,train,5.0771,0.0249,12.30,4.8474,15.23,1568,190.2,nan,nan
241,train,4.4672,0.1091,9.87,4.4003,10.40,1568,191.0,nan,nan
242,train,3.2368,0.1486,3.82,3.1159,3.29,1568,191.7,nan,nan
243,train,5.1945,0.0466,11.23,5.3585,12.59,1568,192.5,nan,nan
244,train,3.6650,0.0504,6.22,3.1575,5.24,1568,193.3,nan,nan
245,train,3.9271,0.0842,5.30,3.9134,7.57,1568,194.1,nan,nan
246,train,4.4613,0.1250,7.56,4.0247,6.61,1568,194.9,nan,nan
247,train,4.5417,0.0682,7.57,3.8305,6.05,1568,195.6,nan,nan
248,train,2.9410,0.2194,2.98,3.1104,3.05,1568,196.4,nan,nan
249,train,3.8708,0.1263,4.88,3.7805,4.34,1568,197.2,nan,nan
250,train,4.7449,0.0593,9.79,4.3921,9.94,1568,198.0,nan,nan
251,train,4.7991,0.1167,11.15,4.6287,9.91,1568,198.7,nan,nan
252,train,3.9536,0.1945,6.82,4.1364,5.76,1568,199.5,nan,nan
253,train,5.5162,0.1052,10.65,5.6698,10.14,1568,200.3,nan,nan
254,train,4.3079,0.0478,8.01,3.8878,7.80,1568,201.1,nan,nan
255,train,3.8179,0.1186,5.17,3.3437,2.74,1568,201.9,nan,nan
256,train,4.2755,0.0319,6.54,3.9567,5.05,1568,202.6,nan,nan
257,train,3.7893,0.1001,4.78,3.5452,3.05,1568,203.4,nan,nan
258,train,4.9443,0.0619,8.00,3.8479,6.26,1568,204.2,nan,nan
259,train,3.5364,0.0957,4.93,3.0821,4.75,1568,205.0,nan,nan
260,train,4.7976,0.0108,6.63,4.1213,4.08,1568,205.7,nan,nan
261,train,3.9393,0.0944,7.07,3.8358,9.06,1568,206.5,nan,nan
262,train,4.8021,0.0517,11.72,4.1507,12.84,1568,207.3,nan,nan
263,train,3.8209,0.0899,6.45,3.8681,6.52,1568,208.1,nan,nan
264,train,3.5676,0.2526,7.51,3.6506,7.51,1568,208.8,nan,nan
265,train,4.9350,0.0191,12.11,4.1586,13.96,1568,209.6,nan,nan
266,train,2.9259,0.1830,4.75,2.8164,5.78,1568,210.4,nan,nan
267,train,4.3491,0.0708,5.42,4.0391,3.80,1568,211.2,nan,nan
268,train,3.2741,0.1665,4.64,3.3590,4.28,1568,212.0,nan,nan
269,train,4.6575,0.0472,6.64,4.3534,5.82,1568,212.7,nan,nan
270,train,4.0599,0.0714,5.82,3.6013,7.68,1568,213.5,nan,nan
271,train,3.8337,0.1550,8.52,3.3904,8.60,1568,214.3,nan,nan
272,train,4.2369,0.1237,7.89,3.9061,7.68,1568,215.1,nan,nan
273,train,4.1725,0.1473,7.74,4.1412,6.99,1568,215.8,nan,nan
274,train,4.0201,0.0459,4.23,3.8860,4.94,1568,216.6,nan,nan
275,train,3.7445,0.1416,7.21,3.4228,6.27,1568,217.4,nan,nan
276,train,4.2801,0.1218,8.24,4.1719,7.83,1568,218.2,nan,nan
277,train,4.2906,0.0906,9.26,3.8404,10.80,1568,218.9,nan,nan
278,train,3.7816,0.1314,6.50,3.3485,3.64,1568,219.7,nan,nan
279,train,4.0674,0.1327,7.42,4.0745,6.65,1568,220.5,nan,nan
280,train,3.0377,0.1741,4.39,3.1939,3.61,1568,221.3,nan,nan
281,train,3.3900,0.2156,6.66,3.0179,7.22,1568,222.1,nan,nan
282,train,3.9713,0.0893,5.95,4.1195,6.27,1568,222.8,nan,nan
283,train,4.3239,0.0249,6.24,3.8387,3.84,1568,223.6,nan,nan
284,train,4.6393,0.1582,7.48,4.0293,7.39,1568,224.4,nan,nan
285,train,3.5071,0.0823,3.04,2.9983,3.37,1568,225.2,nan,nan
286,train,3.1635,0.1773,3.03,3.0133,2.83,1568,225.9,nan,nan
287,train,3.7326,0.1907,6.92,3.6599,7.65,1568,226.7,nan,nan
288,train,4.5093,0.0816,5.97,3.9114,3.16,1568,227.5,nan,nan
289,train,4.6786,0.0969,6.78,4.1512,6.77,1568,228.3,nan,nan
290,train,4.2171,0.0893,6.31,3.8705,4.93,1568,229.1,nan,nan
291,train,2.6196,0.1448,2.32,2.0088,1.46,1568,229.8,nan,nan
292,train,3.8305,0.1071,3.20,3.5720,2.94,1568,230.6,nan,nan
293,train,4.0489,0.1059,8.20,3.6412,7.64,1568,231.4,nan,nan
294,train,3.3614,0.2392,4.17,3.1531,3.47,1568,232.2,nan,nan
295,train,3.4277,0.1971,5.66,3.5033,5.78,1568,232.9,nan,nan
296,train,4.8919,0.0051,10.50,4.6017,9.34,1568,233.7,nan,nan
297,train,5.0824,0.0446,10.49,4.4208,10.16,1568,234.5,nan,nan
298,train,3.9453,0.0542,5.13,3.3246,4.58,1568,235.3,nan,nan
299,train,4.9434,0.0727,9.52,4.6923,9.52,1568,236.0,nan,nan
300,train,4.2679,0.1033,7.86,3.7790,5.47,1568,236.8,nan,nan
301,train,4.4219,0.0727,7.42,4.0127,7.19,1568,237.6,nan,nan
302,train,3.7182,0.1078,6.56,3.4641,6.24,1568,238.4,nan,nan
303,train,3.3296,0.1550,4.40,2.8282,3.86,1568,239.2,nan,nan
304,train,3.9613,0.1818,6.05,3.9851,6.08,1568,239.9,nan,nan
305,train,4.1594,0.0140,4.51,3.6459,4.95,1568,240.7,nan,nan
306,train,4.2389,0.1180,5.59,3.6282,4.54,1568,241.5,nan,nan
307,train,4.0309,0.0574,7.11,4.1081,9.51,1568,242.3,nan,nan
308,train,4.2655,0.0587,8.06,3.8778,8.61,1568,243.0,nan,nan
309,train,4.1459,0.0319,7.10,4.0133,6.25,1568,243.8,nan,nan
310,train,4.4062,0.0108,6.38,3.7952,3.50,1568,244.6,nan,nan
311,train,4.5060,0.0695,8.96,4.4730,10.28,1568,245.4,nan,nan
312,train,3.2488,0.2162,6.15,3.2981,7.02,1568,246.1,nan,nan
313,train,4.7256,0.0319,10.21,4.6717,8.92,1568,246.9,nan,nan
314,train,5.4976,0.0102,12.67,5.0739,12.54,1568,247.7,nan,nan
315,train,5.1729,0.1276,10.53,5.1695,11.13,1568,248.5,nan,nan
316,train,2.9598,0.2200,2.74,2.9690,2.52,1568,249.3,nan,nan
317,train,4.8287,0.0485,8.03,4.3498,7.71,1568,250.0,nan,nan
318,train,3.7546,0.0427,6.19,3.2384,5.60,1568,250.8,nan,nan
319,train,3.3083,0.0842,4.60,2.7460,4.08,1568,251.6,nan,nan
320,train,4.2964,0.1301,6.07,4.2568,5.27,1568,252.4,nan,nan
321,train,2.9958,0.1403,3.22,2.7287,3.36,1568,253.1,nan,nan
322,train,4.6025,0.0886,10.33,4.4378,9.50,1568,253.9,nan,nan
323,train,4.1151,0.0721,8.48,3.3700,7.84,1568,254.7,nan,nan
324,train,3.6570,0.2787,6.70,3.5126,3.76,1568,255.5,nan,nan
325,train,4.5112,0.0446,8.68,3.9680,7.08,1568,256.3,nan,nan
326,train,3.9196,0.1339,6.21,3.5787,4.27,1568,257.0,nan,nan
327,train,4.9328,0.0529,9.10,4.7056,7.02,1568,257.8,nan,nan
328,train,4.0234,0.0644,7.32,4.1388,7.03,1568,258.6,nan,nan
329,train,3.8962,0.1569,7.45,3.5950,8.88,1568,259.4,nan,nan
330,train,4.5496,0.0185,9.21,4.0606,9.30,1568,260.1,nan,nan
331,train,4.9473,0.0351,9.09,4.4884,9.80,1568,260.9,nan,nan
332,train,3.8331,0.1537,5.17,3.4085,4.47,1568,261.7,nan,nan
333,train,3.3445,0.0867,3.53,2.8731,3.06,1568,262.5,nan,nan
334,train,3.9475,0.0982,5.27,3.7994,5.04,1568,263.2,nan,nan
335,train,3.7789,0.1224,6.84,3.6913,7.77,1568,264.0,nan,nan
336,train,4.1670,0.1441,8.76,3.9898,8.81,1568,264.8,nan,nan
337,train,4.5074,0.1371,6.81,4.4065,6.12,1568,265.6,nan,nan
338,train,4.2387,0.0810,6.20,3.7381,3.42,1568,266.4,nan,nan
339,train,4.5223,0.1014,10.24,4.4630,12.17,1568,267.1,nan,nan
340,train,4.3147,0.1110,9.28,4.3918,10.46,1568,267.9,nan,nan
341,train,2.9791,0.1486,3.94,2.5138,3.02,1568,268.7,nan,nan
342,train,4.5080,0.0714,9.29,4.0417,7.06,1568,269.5,nan,nan
343,train,5.1583,0.0281,9.52,5.1899,7.40,1568,270.2,nan,nan
344,train,3.5665,0.1467,5.09,2.9309,2.99,1568,271.0,nan,nan
345,train,3.9765,0.0886,8.30,3.8506,8.88,1568,271.8,nan,nan
