step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4884,train,4.3902,4.4073,0.0155,0.1036,17.92,4.2801,13.42,193,5.5
4885,train,3.8451,5.3277,0.0000,0.0156,33.86,3.8865,20.40,192,2.1
4886,train,nan,0.1425,nan,nan,nan,0.0000,nan,0,2.6
4887,train,4.1795,5.4645,0.0206,0.1031,13.70,3.6320,16.00,194,2.3
4888,train,4.1978,4.8368,0.0207,0.1606,18.76,3.2298,18.97,193,5.5
4889,train,3.8055,5.2704,0.0876,0.3505,8.94,3.6979,16.49,194,2.1
4890,train,4.1528,5.3875,0.0000,0.0000,42.22,4.1657,50.25,194,3.4
4891,train,5.0691,4.4348,0.0000,0.0103,35.58,5.0302,36.88,194,2.7
4892,train,4.3868,4.1451,0.0000,0.0619,22.63,4.0755,30.59,194,5.1
4893,train,4.8331,4.7959,0.0000,0.0104,19.43,3.3843,13.42,192,3.4
4894,train,nan,0.1489,nan,nan,nan,0.0000,nan,0,6.8
4895,train,3.8991,4.9480,0.0515,0.2938,15.02,3.7963,13.42,194,6.0
4896,train,3.5184,4.6230,0.0928,0.2526,16.58,3.2987,30.59,194,3.4
4897,train,4.2620,4.8900,0.0258,0.1495,18.03,4.4127,16.97,194,4.5
4898,train,3.8763,4.6606,0.0000,0.0309,27.18,3.7033,32.25,194,2.0
4899,train,4.0320,4.4082,0.0155,0.0979,14.13,3.2320,4.00,194,2.3
4900,train,3.8005,3.6648,0.0000,0.0052,57.93,4.1607,78.92,192,5.7
4901,train,4.4801,4.9952,0.0155,0.0412,27.37,3.5022,4.00,194,2.9
4902,train,4.9190,4.2007,0.0052,0.0155,29.27,3.6864,37.11,193,0.9
4903,train,3.5998,3.9068,0.0155,0.0722,31.83,3.2410,37.95,194,5.3
4904,train,5.3718,4.8761,0.0000,0.0000,31.11,5.7064,44.72,193,1.5
4905,train,4.0106,3.9265,0.0000,0.0361,34.78,3.9821,30.00,194,5.8
4906,train,4.9916,4.5352,0.0000,0.0521,14.42,4.1336,6.71,192,1.0
